,10035,48.455,2.458,98.25,24.74,-999,-999,-999,19.529,-999,-999,-999,9464.13281,31.53581,32.91285,44.92059,-999,-999,-999,-999
,10035.5,49.252,2.453,94.312,24.78,-999,-999,-999,19.529,-999,-999,-999,9464.60449,31.65454,33.0312,45.0851,-999,-999,-999,-999
,10036,50.82,2.444,96.675,25.82,-999,-999,-999,19.529,-999,-999,-999,9465.0752,31.77328,33.14952,45.24959,-999,-999,-999,-999
,10036.5,51.866,2.446,104.156,28.36,-999,-999,-999,19.529,-999,-999,-999,9465.54688,31.89205,33.2678,45.41406,-999,-999,-999,-999
,10037,53.185,2.451,109.259,28.96,-999,-999,-999,19.529,-999,-999,-999,9466.01758,32.01084,33.38603,45.57851,-999,-999,-999,-999
,10037.5,53.973,2.457,114,28.8,-999,-999,-999,19.529,-999,-999,-999,9466.48828,32.12966,33.50423,45.74294,-999,-999,-999,-999
,10038,53.975,2.454,113.527,28.82,-999,-999,-999,19.529,-999,-999,-999,9466.95996,32.2485,33.62239,45.90736,-999,-999,-999,-999
,10038.5,53.355,2.456,112.425,30.1,-999,-999,-999,19.529,-999,-999,-999,9467.43066,32.36736,33.74052,46.07176,-999,-999,-999,-999
,10039,52.402,2.467,110.236,30.38,-999,-999,-999,19.529,-999,-999,-999,9467.90137,32.48625,33.85861,46.23614,-999,-999,-999,-999
,10039.5,52.791,2.469,106.912,29.16,-999,-999,-999,19.529,-999,-999,-999,9468.37305,32.60516,33.97665,46.4005,-999,-999,-999,-999
,10040,53.192,2.478,104.55,27.2,-999,-999,-999,19.529,-999,-999,-999,9468.84375,32.7241,34.09466,46.56484,-999,-999,-999,-999
,10040.5,52.406,2.492,103.762,25.82,-999,-999,-999,19.529,-999,-999,-999,9469.31543,32.84306,34.21264,46.72916,-999,-999,-999,-999
,10041,52.408,2.492,104.301,25.02,-999,-999,-999,19.529,-999,-999,-999,9469.78613,32.96204,34.33057,46.89347,-999,-999,-999,-999
,10041.5,52.409,2.478,104.55,25.32,-999,-999,-999,19.529,-999,-999,-999,9470.25684,33.08105,34.44846,47.05776,-999,-999,-999,-999
,10042,54.773,2.463,103.447,25.68,-999,-999,-999,19.529,-999,-999,-999,9470.72852,33.20008,34.56631,47.22202,-999,-999,-999,-999
,10042.5,55.562,2.473,102.975,25.48,-999,-999,-999,19.529,-999,-999,-999,9471.19922,33.31913,34.68413,47.38627,-999,-999,-999,-999
,10043,54.202,2.459,102.187,25.62,-999,-999,-999,19.529,-999,-999,-999,9471.6709,33.43821,34.80191,47.5505,-999,-999,-999,-999
,10043.5,50.839,2.465,102.187,24.72,-999,-999,-999,19.529,-999,-999,-999,9472.1416,33.55731,34.91965,47.71471,-999,-999,-999,-999
,10044,50.84,2.459,102.187,25.32,-999,-999,-999,19.529,-999,-999,-999,9472.61328,33.67643,35.03735,47.87889,-999,-999,-999,-999
,10044.5,50.841,2.462,101.4,26.48,-999,-999,-999,19.529,-999,-999,-999,9473.08398,33.79558,35.15501,48.04307,-999,-999,-999,-999
,10045,51.631,2.469,111.637,29.04,-999,-999,-999,19.478,-999,-999,-999,9473.55469,33.91475,35.27264,48.20723,-999,-999,-999,-999
,10045.5,51.632,2.473,110.85,29.6,-999,-999,-999,19.478,-999,-999,-999,9474.02637,34.03395,35.39022,48.37136,-999,-999,-999,-999
,10046,51.633,2.452,112.425,27.12,-999,-999,-999,19.478,-999,-999,-999,9474.49707,34.15316,35.50777,48.53548,-999,-999,-999,-999
,10046.5,51.635,2.437,110.85,26.74,-999,-999,-999,19.529,-999,-999,-999,9474.96875,34.27241,35.62527,48.69958,-999,-999,-999,-999
,10047,49.862,2.437,104.156,27.6,-999,-999,-999,19.529,-999,-999,-999,9475.43945,34.39167,35.74274,48.86366,-999,-999,-999,-999
,10047.5,48.487,2.418,100.711,28.3,-999,-999,-999,19.529,-999,-999,-999,9475.91113,34.51096,35.86018,49.02772,-999,-999,-999,-999
,10048,46.913,2.398,99.825,27.44,-999,-999,-999,19.58,-999,-999,-999,9476.38184,34.63027,35.97757,49.19176,-999,-999,-999,-999
,10048.5,46.127,2.413,102.975,26.28,-999,-999,-999,20.139,-999,-999,-999,9476.85352,34.74961,36.09492,49.35578,-999,-999,-999,-999
,10049,45.342,2.411,103.805,26.2,-999,-999,-999,19.631,-999,-999,-999,9477.32422,34.86897,36.21224,49.51979,-999,-999,-999,-999
,10049.5,45.599,2.417,104.55,27.04,-999,-999,-999,19.529,-999,-999,-999,9477.7959,34.98835,36.32952,49.68377,-999,-999,-999,-999
,10050,46.132,2.417,102.187,26.62,-999,-999,-999,19.478,-999,-999,-999,9478.2666,35.10776,36.44675,49.84774,-999,-999,-999,-999
,10050.5,47.477,2.432,102.187,27.58,-999,-999,-999,19.377,-999,-999,-999,9478.73828,35.22719,36.56395,50.01168,-999,-999,-999,-999
,10051,49.284,2.432,102.187,28.2,-999,-999,-999,19.377,-999,-999,-999,9479.20898,35.34664,36.68111,50.17561,-999,-999,-999,-999
,10051.5,50.165,2.43,101.4,27.6,-999,-999,-999,19.224,-999,-999,-999,9479.67969,35.46612,36.79824,50.33952,-999,-999,-999,-999
,10052,50.861,2.421,101.926,25.86,-999,-999,-999,19.122,-999,-999,-999,9480.15137,35.58562,36.91533,50.50342,-999,-999,-999,-999
,10052.5,51.385,2.401,102.187,24.68,-999,-999,-999,19.173,-999,-999,-999,9480.62207,35.70514,37.03237,50.66729,-999,-999,-999,-999
,10053,51.652,2.376,102.975,25.48,-999,-999,-999,19.275,-999,-999,-999,9481.09375,35.82469,37.14938,50.83114,-999,-999,-999,-999
,10053.5,51.653,2.369,102.975,27.78,-999,-999,-999,19.224,-999,-999,-999,9481.56445,35.94426,37.26635,50.99497,-999,-999,-999,-999
,10054,50.079,2.382,101.634,28.54,-999,-999,-999,19.122,-999,-999,-999,9482.03613,36.06385,37.38327,51.15879,-999,-999,-999,-999
,10054.5,49.293,2.389,100.612,27.92,-999,-999,-999,19.377,-999,-999,-999,9482.50684,36.18347,37.50017,51.32259,-999,-999,-999,-999
,10055,48.376,2.4,102.187,27.44,-999,-999,-999,19.682,-999,-999,-999,9482.97852,36.30311,37.61702,51.48637,-999,-999,-999,-999
,10055.5,47.72,2.401,103.665,26.96,-999,-999,-999,20.19,-999,-999,-999,9483.44922,36.42278,37.73383,51.65012,-999,-999,-999,-999
,10056,50.085,2.409,105.338,26.84,-999,-999,-999,19.072,-999,-999,-999,9483.9209,36.54246,37.85061,51.81386,-999,-999,-999,-999
,10056.5,50.874,2.409,104.494,26.78,-999,-999,-999,19.021,-999,-999,-999,9484.39258,36.66217,37.96735,51.97758,-999,-999,-999,-999
,10057,50.316,2.429,102.975,26.94,-999,-999,-999,18.97,-999,-999,-999,9484.86328,36.78191,38.08405,52.14128,-999,-999,-999,-999
,10057.5,49.301,2.441,102.975,26.52,-999,-999,-999,18.919,-999,-999,-999,9485.33496,36.90166,38.20071,52.30497,-999,-999,-999,-999
,10058,49.302,2.446,102.975,26.36,-999,-999,-999,18.868,-999,-999,-999,9485.80566,37.02145,38.31733,52.46863,-999,-999,-999,-999
,10058.5,49.303,2.432,100.612,26.76,-999,-999,-999,18.817,-999,-999,-999,9486.27734,37.14125,38.43391,52.63228,-999,-999,-999,-999
